Year,month,Kwai Tsing Container Terminals ( '000 TEUs),Other than Kwai Tsing Container Terminals ( '000 TEUs),Total ( '000 TEUs),Kwai Tsing Container Terminals (Year-on-year change %),Other than Kwai Tsing Container Terminals ( Year-on-year change %),Total ( Year-on-year change %)
2009,All,15159,5881,21040,-14.5,-13.1,-14.1
2010,All,17098,6602,23699,12.8,12.3,12.6
2011,All,17416,6968,24384,1.9,5.5,2.9
2012,All,17475,5642,23117,0.3,-19,-5.2
2013,All,17118,5234,22352,-2,-7.2,-3.3
2014,All,17587,4639,22226,2.7,-11.4,-0.6
2015,All,15572,4500,20073,-11.5,-3,-9.7
2016,All,15203,4609,19813,-2.4,2.4,-1.3
2017,All,16236,4534,20770,6.8,-1.6,4.8
2018,All,15473,4123,19596,-4.7,-9.1,-5.7
2019,All,14220,4083,18303,-8.1,-1,-6.6
2020,All,14456,3513,17969,1.7,-14,-1.8
2021,All,14580,3219,17798,0.9,-8.4,-1
2022,All,12869,3816,16685,-11.7,18.6,-6.3
2023,All,11033,3368,14401,-14.3,-11.7,-13.7
2024,All,10352,3336,13688,-6.2,-1,-5
2025,All,9659,3336,12995,-6.7,0,-5.1
2017,Jan,1336,325,1661,3.9,-16,-0.7
2017,Feb,1136,351,1487,16.8,110.3,30.5
2017,Mar,1390,340,1730,18.4,0.7,14.5
2017,Apr,1379,420,1799,10.5,26.1,13.8
2017,May,1479,345,1824,14.3,2.3,11.9
2017,Jun,1322,428,1750,3.9,10.5,5.5
2017,Jul,1406,376,1782,9.1,10.8,9.4
2017,Aug,1341,376,1718,3.5,-24.2,-4.2
2017,Sep,1430,376,1806,12.4,-14.4,5.5
2017,Oct,1314,362,1676,-0.9,0.2,-0.7
2017,Nov,1349,408,1757,-1.6,-7.9,-3.1
2017,Dec,1352,427,1780,-3.6,-26.4,-10.3
2018,Jan,1414,432,1846,5.9,32.8,11.1
2018,Feb,1133,281,1414,-0.3,-20,-4.9
2018,Mar,1252,376,1628,-10,10.8,-5.9
2018,Apr,1282,319,1601,-7,-24.1,-11
