Year,month,Inward Laden Container ( '000 TEUs),Inward Empty Container ( '000 TEUs),Inward Sub-total ( '000 TEUs),Outward Laden Container ( '000 TEUs),Outward Empty Container ( '000 TEUs),Outward Sub-total ( '000 TEUs),Overall Laden Container ( '000 TEUs),Overall Empty Container ( '000 TEUs),Total ( '000 TEUs),Inward Laden Container (Year-on-year change %),Inward Empty Container (Year-on-year change %),Inward Sub-total (Year-on-year change %),Outward Laden Container (Year-on-year change %),Outward Empty Container (Year-on-year change %),Outward Sub-total (Year-on-year change %),Overall Laden Container (Year-on-year change %),Overall Empty Container (Year-on-year change %),Total (Year-on-year change %)
2009,All,6584,949,7533,6968,658,7626,13552,1607,15159,-7.5,-42.4,-14.1,-16.6,8.8,-14.9,-12.4,-28.6,-14.5
2010,All,7220,1209,8428,7944,726,8669,15163,1934,17098,9.7,27.3,11.9,14,10.4,13.7,11.9,20.4,12.8
2011,All,7380,1355,8735,7908,773,8681,15289,2127,17416,2.2,12.1,3.6,-0.4,6.4,0.1,0.8,10,1.9
2012,All,7452,1362,8814,7915,746,8662,15367,2108,17475,1,0.5,0.9,0.1,-3.4,-0.2,0.5,-0.9,0.3
2013,All,7495,1210,8705,7767,647,8413,15262,1856,17118,0.6,-11.2,-1.2,-1.9,-13.4,-2.9,-0.7,-12,-2
2014,All,7909,1113,9022,7831,734,8565,15741,1847,17587,5.5,-8,3.6,0.8,13.5,1.8,3.1,-0.5,2.7
2015,All,7005,1014,8019,6831,722,7554,13836,1736,15572,-11.4,-8.9,-11.1,-12.8,-1.6,-11.8,-12.1,-6,-11.5
2016,All,7016,891,7907,6620,676,7296,13636,1568,15203,0.2,-12.1,-1.4,-3.1,-6.4,-3.4,-1.5,-9.7,-2.4
2017,All,7406,1049,8456,7013,767,7780,14419,1817,16236,5.6,17.7,6.9,5.9,13.4,6.6,5.7,15.9,6.8
2018,All,6800,1202,8002,6688,783,7471,13488,1985,15473,-8.2,14.5,-5.4,-4.6,2,-4,-6.5,9.2,-4.7
2019,All,6393,1080,7473,6045,702,6747,12437,1782,14220,-6,-10.2,-6.6,-9.6,-10.3,-9.7,-7.8,-10.2,-8.1
2020,All,6537,1159,7697,5768,992,6759,12305,2151,14456,2.3,7.4,3,-4.6,41.2,0.2,-1.1,20.7,1.7
2021,All,6398,1256,7654,5953,972,6925,12352,2228,14580,-2.1,8.4,-0.5,3.2,-2,2.5,0.4,3.6,0.9
2022,All,5666,1198,6865,4854,1151,6004,10520,2349,12869,-11.4,-4.6,-10.3,-18.5,18.4,-13.3,-14.8,5.4,-11.7
2023,All,4766,1174,5940,4113,980,5093,8879,2154,11033,-15.9,-2.1,-13.5,-15.3,-14.8,-15.2,-15.6,-8.3,-14.3
2024,All,4457,1160,5618,3933,801,4734,8391,1961,10352,-6.5,-1.1,-5.4,-4.4,-18.3,-7.1,-5.5,-9,-6.2
2025,All,4100,1111,5211,3626,821,4448,7726,1933,9659,-8,-4.2,-7.2,-7.8,2.6,-6.1,-7.9,-1.4,-6.7
2017,Jan,605,67,673,611,52,663,1216,119,1336,6.5,-23,2.6,6.8,-11.3,5.2,6.7,-18.3,3.9
2017,Feb,568,50,618,470,48,518,1038,98,1136,31.1,-24.3,23.8,12.2,-12.1,9.4,21.8,-18.8,16.8
